city,state
Abohar,Punjab
Achalpur,Maharashtra
Adilabad,Andhra Pradesh
Adityapur,Jharkhand
Adoni,Andhra Pradesh
Agartala,Tripura
Agra,Uttar Pradesh
Ahmadabad,Gujarat
Ahmadnagar,Maharashtra
Aizawl,Mizoram
Ajmer,Rajasthan
Akbarpur,Uttar Pradesh
Akola,Maharashtra
Alandur,Tamil Nadu
Alappuzha,Kerala
Aligarh,Uttar Pradesh
Allahabad,Uttar Pradesh
Alwar,Rajasthan
Ambala,Haryana
Ambala Sadar,Haryana
Ambarnath,Maharashtra
Ambattur,Tamil Nadu
Ambikapur,Chhattisgarh
Ambur,Tamil Nadu
Amravati,Maharashtra
Amreli,Gujarat
Amritsar,Punjab
Amroha,Uttar Pradesh
Anand,Gujarat
Anantapur,Andhra Pradesh
Anantnag,Jammu & Kashmir
Arrah,Bihar
Asansol,West Bengal
Ashoknagar Kalyangarh,West Bengal
Aurangabad,Bihar
Aurangabad,Maharashtra
Avadi,Tamil Nadu
Azamgarh,Uttar Pradesh
Badlapur,Maharashtra
Bagaha,Bihar
Bagalkot,Karnataka
Bahadurgarh,Haryana
Baharampur,West Bengal
Bahraich,Uttar Pradesh
Baidyabati,West Bengal
Baleshwar Town,Orissa
Ballia,Uttar Pradesh
Bally,West Bengal
Bally City,West Bengal
Balurghat,West Bengal
Banda,Uttar Pradesh
Bankura,West Bengal
Bansberia,West Bengal
Banswara,Rajasthan
Baran,Rajasthan
Baranagar,West Bengal
Barasat,West Bengal
Baraut,Uttar Pradesh
Barddhaman,West Bengal
Bareilly,Uttar Pradesh
Baripada Town,Orissa
Barnala,Punjab
Barrackpur,West Bengal
Barshi,Maharashtra
Basirhat,West Bengal
Basti,Uttar Pradesh
Batala,Punjab
Bathinda,Punjab
Beawar,Rajasthan
Begusarai,Bihar
Belgaum,Karnataka
Bellary,Karnataka
Bengaluru,Karnataka
Bettiah,Bihar
Betul,Madhya Pradesh
Bhadrak,Orissa
Bhadravati,Karnataka
Bhadreswar,West Bengal
Bhagalpur,Bihar
Bhalswa Jahangir Pur,NCT of Delhi
Bharatpur,Rajasthan
Bharuch,Gujarat
Bhatpara,West Bengal
Bhavnagar,Gujarat
Bhilai Nagar,Chhattisgarh
Bhilwara,Rajasthan
Bhimavaram,Andhra Pradesh
Bhind,Madhya Pradesh
Bhiwadi,Rajasthan
Bhiwandi,Maharashtra
Bhiwani,Haryana
Bhopal,Madhya Pradesh
Bhubaneswar Town,Orissa
Bhuj,Gujarat
Bhusawal,Maharashtra
Bid,Maharashtra
Bidar,Karnataka
Bidhan Nagar,West Bengal
Biharsharif,Bihar
Bijapur,Karnataka
Bikaner,Rajasthan
Bilaspur,Chhattisgarh
Bokaro Steel City,Jharkhand
Bongaon,West Bengal
Botad,Gujarat
Brahmapur Town,Orissa
Budaun,Uttar Pradesh
Bulandshahr,Uttar Pradesh
Bundi,Rajasthan
Burari,NCT of Delhi
Burhanpur,Madhya Pradesh
Buxar,Bihar
Champdani,West Bengal
Chandannagar,West Bengal
Chandausi,Uttar Pradesh
Chandigarh,Chandigarh
Chandrapur,Maharashtra
Chapra,Bihar
Chas,Jharkhand
Chennai,Tamil Nadu
Chhattarpur,Madhya Pradesh
Chhindwara,Madhya Pradesh
Chikmagalur,Karnataka
Chilakaluripet,Andhra Pradesh
Chitradurga,Karnataka
Chittaurgarh,Rajasthan
Chittoor,Andhra Pradesh
Churu,Rajasthan
Coimbatore,Tamil Nadu
Cuddalore,Tamil Nadu
Cuttack,Orissa
Dabgram,West Bengal
Dallo Pura,NCT of Delhi
Damoh,Madhya Pradesh
Darbhanga,Bihar
Darjiling,West Bengal
Datia,Madhya Pradesh
Davanagere,Karnataka
Deesa,Gujarat
Dehradun,Uttarakhand
Dehri,Bihar
Delhi,NCT of Delhi
Delhi Cantonment,NCT of Delhi
Deoghar,Jharkhand
Deoli,NCT of Delhi
Deoria,Uttar Pradesh
Dewas,Madhya Pradesh
Dhanbad,Jharkhand
Dharmavaram,Andhra Pradesh
Dhaulpur,Rajasthan
Dhule,Maharashtra
Dibrugarh,Assam
Dimapur,Nagaland
Dinapur Nizamat,Bihar
Dindigul,Tamil Nadu
Dum Dum,West Bengal
Durg,Chhattisgarh
Durgapur,West Bengal
Eluru,Andhra Pradesh
English Bazar,West Bengal
Erode,Tamil Nadu
Etah,Uttar Pradesh
Etawah,Uttar Pradesh
Faizabad,Uttar Pradesh
Faridabad,Haryana
Farrukhabad-cum-Fatehgarh,Uttar Pradesh
Fatehpur,Uttar Pradesh
Firozabad,Uttar Pradesh
Firozpur,Punjab
Gadag-Betigeri,Karnataka
Gandhidham,Gujarat
Gandhinagar,Gujarat
Ganganagar,Rajasthan
Gangapur City,Rajasthan
